Time used: 2.7929787635803223
         3288214 function calls (3255290 primitive calls) in 2.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    70545    0.082    0.000    0.257    0.000 vklause.py:26(clone)
        1    0.000    0.000    0.000    0.000 vklause.py:4(VKlause)
       15    0.000    0.000    0.000    0.000 vklause.py:48(compressed_value)
     2128    0.004    0.000    0.005    0.000 vklause.py:77(hit)
        1    0.000    0.000    0.001    0.001 vkmgr.py:1(<module>)
       27    0.003    0.000    0.004    0.000 vkmgr.py:22(make_bdic)
       14    0.003    0.000    0.031    0.002 vkmgr.py:30(morph)
        1    0.000    0.000    0.000    0.000 vkmgr.py:7(VKManager)
       14    0.011    0.001    0.018    0.001 vkmgr.py:79(choose_anchor)
       14    0.000    0.000    0.002    0.000 vkmgr.py:8(__init__)
       22    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x907780}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       61    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       61    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       15    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        2    0.009    0.005    0.009    0.005 {built-in method builtins.eval}
     12/1    0.000    0.000    2.811    2.811 {built-in method builtins.exec}
       74    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      233    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
   501123    0.070    0.000    0.070    0.000 {built-in method builtins.len}
       23    0.002    0.000    0.002    0.000 {built-in method builtins.print}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
   222957    0.122    0.000    0.122    0.000 {built-in method builtins.sorted}
       33    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       11    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       11    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       33    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       11    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       35    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
